job_id,posting_year,country,region,city,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_keywords,ai_intensity_score,core_skills,ai_skills,salary_usd,salary_change_vs_prev_year_percent,automation_risk_score,reskilling_required,ai_job_displacement_risk,job_description_embedding_cluster,industry_ai_adoption_stage
5e739937-d1b0-44d7-935c-7ebb3fc1f6e8,2014,Taiwan,East Asia,Sydney,Future Technologies,Small,Manufacturing,ML Engineer,Lead,False,,0.11,"SQL, Python, Communication, Software Engineering, Statistics, Business Analysis",Not Specified,57215,0.85,0.87,False,High,13,Emerging
1da6731c-2a17-4fde-b43a-3281912bc31d,2016,Jordan,Middle East,Singapore,Prime Systems,Medium,Healthcare,Software Engineer,Mid,False,,0.11,"Project Management, Python, Communication, Cloud Computing, Research",Not Specified,63931,0.3,0.6,False,Low,15,Emerging
85cccc9e-f1c0-4b09-80c0-ab91b09d6f6b,2014,Peru,South America,Paris,NextGen Solutions,Large,Healthcare,Systems Engineer,Executive,False,,0.03,"Software Engineering, Research, Communication, Python, SQL",Not Specified,39525,1.07,0.89,False,Low,2,Emerging
510a083d-c929-452e-bca9-2224547c3f26,2011,Australia,Oceania,Tokyo,Prime Systems,Startup,Agriculture,ML Engineer,Senior,False,,0.19,"Business Analysis, Cloud Computing, Software Engineering",Not Specified,73953,-3.34,0.75,False,Medium,13,Emerging
e39cdd94-1247-4380-89db-56c8a4b84f06,2017,China,East Asia,Singapore,Global Systems,Enterprise,Tech,Operations Manager,Lead,True,"NLP, deep learning, reinforcement learning",0.53,"SQL, Research, Project Management","NLP, deep learning, reinforcement learning",90257,1.72,0.19,True,High,8,Growing
21f7cb94-8074-4252-b5cc-aff4ef10f046,2018,Pakistan,South Asia,Berlin,Future Technologies,Large,Agriculture,Operations Manager,Lead,True,machine learning,0.75,"Research, Python, SQL, Communication, Statistics, Software Engineering",machine learning,38150,5.57,0.2,True,High,1,Growing
9357ad9b-1bec-4d4f-8f1f-f16f11d59302,2022,Nepal,South Asia,Bangalore,Global Systems,Medium,Agriculture,Research Scientist,Senior,False,,0.02,"Statistics, Business Analysis, SQL, Project Management, Cloud Computing",Not Specified,31038,-3.21,0.89,False,Low,8,Growing
09bdb9b7-3e71-4e27-a2d4-1373b104850f,2023,Mexico,North America,Singapore,Prime Systems,Enterprise,Tech,Product Manager,Lead,False,,0.11,"SQL, Cloud Computing, Research, Statistics, Project Management",Not Specified,103705,2.42,0.8,False,Medium,12,Mature
2a36105f-9ede-4dbf-a803-e49a65790c86,2019,Germany,Europe,Toronto,Global Analytics,Enterprise,Agriculture,Systems Engineer,Executive,True,"reinforcement learning, NLP",0.52,"Business Analysis, Software Engineering, Communication, SQL","reinforcement learning, NLP",97050,5.32,0.17,True,Low,0,Growing
fce15c4e-c867-4d79-8acd-b82136b50b56,2017,Colombia,South America,Toronto,Future Analytics,Enterprise,Healthcare,Research Scientist,Executive,False,,0.11,"Research, Software Engineering, Data Analysis, Statistics, Project Management, Business Analysis",Not Specified,47653,-3.79,0.64,False,Medium,7,Growing
c24dc783-b4fa-49d9-895c-27a0916160da,2011,Mexico,North America,Tokyo,Global Technologies,Small,Retail,AI Researcher,Junior,False,,0.16,"SQL, Project Management, Software Engineering, Statistics, Data Analysis, Business Analysis",Not Specified,75382,2.54,0.88,False,Low,19,Emerging
9a2124ed-634e-4002-b7af-21e5a15bf1bd,2020,Peru,South America,Lagos,NextGen Analytics,Large,Tech,ML Engineer,Executive,False,,0.02,"Communication, Research, Software Engineering, Project Management, Business Analysis",Not Specified,51789,1.36,0.85,False,High,18,Growing
c41a9305-8dd1-4716-8953-2be6a0f256d7,2010,Italy,Europe,Seoul,Prime Systems,Small,Agriculture,Data Scientist,Lead,False,,0.19,"Software Engineering, Communication, Research, Data Analysis, SQL",Not Specified,60960,1.97,0.64,False,Low,8,Emerging
c73e30bb-0373-490b-8bc9-9ec03db8ca84,2016,Argentina,South America,Dubai,Prime Solutions,Startup,Manufacturing,Data Scientist,Junior,False,,0.03,"Cloud Computing, Software Engineering, SQL, Statistics, Research",Not Specified,36035,-4.97,0.74,False,Medium,18,Emerging
710c257b-c349-4af4-b55a-c0dcc23eca59,2013,Egypt,Africa,Bangalore,Future Analytics,Small,Agriculture,Software Engineer,Senior,False,,0.18,"Business Analysis, Cloud Computing, Software Engineering, Project Management, Python",Not Specified,21542,-4.29,0.65,False,High,1,Emerging
7f4d6e30-8692-4032-8cf7-b24f9859c302,2018,South Korea,East Asia,Paris,Prime Solutions,Startup,Tech,ML Engineer,Lead,True,reinforcement learning,0.85,"Software Engineering, SQL, Communication, Data Analysis, Project Management, Business Analysis",reinforcement learning,97664,14.92,0.15,True,Medium,3,Growing
729f4003-da4e-4bbf-ae66-3456c18bbdc2,2025,Japan,East Asia,Seoul,NextGen Systems,Small,Tech,Operations Manager,Mid,True,"deep learning, MLOps, computer vision",0.45,"Communication, Business Analysis, SQL, Research, Data Analysis","deep learning, MLOps, computer vision",125397,5.2,0.14,True,High,17,Mature
6687d3f5-209b-436c-8328-c575fb39d481,2025,South Korea,East Asia,London,Prime Systems,Startup,Agriculture,Software Engineer,Senior,False,,0.05,"Cloud Computing, Python, Research, Data Analysis",Not Specified,84161,-2.13,0.67,False,Low,9,Growing
c43eb502-7458-4d94-b0c5-cc630477600f,2023,Bangladesh,South Asia,Dubai,NextGen Technologies,Small,Healthcare,Operations Manager,Executive,True,"NLP, deep learning",0.44,"Software Engineering, Cloud Computing, Python, Business Analysis, Project Management","NLP, deep learning",43249,13.06,0.17,True,Medium,17,Growing
66500a7a-d158-43ec-acdc-7d07fddc7df4,2024,Germany,Europe,Singapore,Future Solutions,Enterprise,Retail,Data Scientist,Executive,True,"LLMs, computer vision, NLP, deep learning",0.95,"Cloud Computing, Python, Research, Communication, Statistics, Project Management","LLMs, computer vision, NLP, deep learning",131923,6.39,0.21,True,Medium,7,Growing
0182cee0-0d2e-4c4a-8006-3abf2c8ccd20,2016,Pakistan,South Asia,Dubai,Future Technologies,Small,Manufacturing,Software Engineer,Mid,False,,0.18,"Business Analysis, Data Analysis, Project Management, SQL, Cloud Computing",Not Specified,24636,-1.91,0.73,False,Medium,16,Emerging
6979ef4a-dd7b-47cf-ab0f-1e3a13f3082b,2015,New Zealand,Oceania,London,NextGen Technologies,Large,Manufacturing,Systems Engineer,Lead,False,,0.06,"SQL, Business Analysis, Python, Data Analysis, Cloud Computing",Not Specified,83056,3.04,0.74,False,Low,14,Emerging
819e3ccf-4686-4d86-b847-db568a1d95e1,2022,Bangladesh,South Asia,Dubai,NextGen Systems,Startup,Retail,Operations Manager,Executive,False,,0.09,"Business Analysis, SQL, Data Analysis, Python, Communication",Not Specified,28175,4.43,0.7,False,Medium,15,Growing
7061083f-edc9-4dce-b2bb-561097259e17,2017,Brazil,South America,Dubai,NextGen Analytics,Small,Agriculture,Software Engineer,Senior,False,,0.07,"Cloud Computing, Python, Statistics, SQL, Project Management, Software Engineering",Not Specified,48059,1.96,0.76,False,Low,11,Growing
e82d1003-1151-44de-bd5e-beaee0764884,2021,Chile,South America,New York,Future Technologies,Large,Tech,ML Engineer,Lead,True,reinforcement learning,0.45,"SQL, Research, Project Management, Cloud Computing",reinforcement learning,59541,13.31,0.39,True,Low,7,Growing
af0a8661-6ad5-4679-9166-596671dabb4e,2010,Pakistan,South Asia,Berlin,Global Solutions,Small,Manufacturing,AI Researcher,Lead,False,,0.11,"Python, Data Analysis, Cloud Computing, Communication, SQL",Not Specified,21791,-3.9,0.86,False,High,13,Emerging
1c4ec105-0dd1-44b4-93db-b7b75e0267a9,2019,Jordan,Middle East,Seoul,Future Systems,Startup,Retail,Business Analyst,Lead,False,,0.04,"Business Analysis, Research, Python, Cloud Computing",Not Specified,66485,-2.76,0.63,False,High,8,Growing
a939bb64-8624-49aa-b8ad-46fd18628932,2018,United States,North America,Lagos,Global Systems,Medium,Manufacturing,Policy Analyst,Junior,False,,0.04,"Business Analysis, Software Engineering, Statistics, SQL, Data Analysis, Research",Not Specified,77510,1.57,0.62,False,High,10,Growing
b9516a66-1763-42b0-8041-d6e6ba3cf179,2014,Brazil,South America,Tokyo,Global Solutions,Enterprise,Healthcare,Systems Engineer,Intern,True,NLP,0.64,"Communication, Software Engineering, Cloud Computing, Python, SQL",NLP,53628,1.07,0.22,True,Medium,19,Emerging
6d23684e-0fce-4173-8762-a2cdbf72607e,2016,United States,North America,Sydney,NextGen Technologies,Small,Manufacturing,Systems Engineer,Lead,False,,0.15,"Research, Communication, Statistics, Python",Not Specified,77382,-3.8,0.75,False,Medium,1,Emerging
2036d0ba-21d8-4a11-a6da-fe9529ecf877,2024,Thailand,Southeast Asia,Paris,Global Solutions,Medium,Retail,Operations Manager,Senior,True,reinforcement learning,0.64,"Python, Statistics, Cloud Computing",reinforcement learning,56112,8.57,0.12,True,Low,2,Growing
e2b39117-2cdc-4840-8e5f-a9e7e4577a51,2024,New Zealand,Oceania,Seoul,Future Systems,Startup,Agriculture,Policy Analyst,Executive,True,"generative AI, LLMs",0.66,"Python, Project Management, Software Engineering, Research","generative AI, LLMs",115685,5.8,0.13,True,High,16,Growing
b34fc021-a6fc-4643-b9f0-444b52506ca9,2021,Netherlands,Europe,Bangalore,Future Technologies,Large,Manufacturing,Product Manager,Intern,True,"machine learning, MLOps, generative AI",0.76,"Statistics, Cloud Computing, Business Analysis, SQL","machine learning, MLOps, generative AI",97171,6.23,0.3,True,High,2,Growing
7a1e3907-a699-4a0e-a513-fa033cd8d927,2022,Jordan,Middle East,Sao Paulo,Prime Solutions,Small,Retail,Data Scientist,Mid,False,,0.17,"Data Analysis, Project Management, Statistics, Business Analysis, Research",Not Specified,72871,1.85,0.76,False,Low,7,Growing
17957a82-2923-4eac-b2e8-e2d25eb3148c,2012,France,Europe,Nairobi,NextGen Analytics,Startup,Manufacturing,ML Engineer,Junior,False,,0.11,"Communication, Data Analysis, Software Engineering, Python",Not Specified,68153,0.27,0.8,False,Medium,11,Emerging
e34e7dd7-fda0-4519-bffd-f85b465791b9,2013,Nepal,South Asia,Sydney,Global Technologies,Startup,Agriculture,Operations Manager,Mid,False,,0.15,"Business Analysis, Python, Communication",Not Specified,20314,4.05,0.64,False,High,11,Emerging
220c2d55-af8e-4bc8-ad0a-3acd2b8210cf,2012,Egypt,Africa,Berlin,Global Solutions,Small,Retail,Operations Manager,Executive,False,,0.19,"Software Engineering, Communication, Python, Research",Not Specified,21021,1.5,0.84,False,Low,8,Emerging
f5e16521-9d1a-4255-b640-3d96f6f16608,2023,Ghana,Africa,Toronto,Global Analytics,Startup,Healthcare,Product Manager,Mid,True,"deep learning, LLMs, MLOps",0.68,"Statistics, SQL, Communication","deep learning, LLMs, MLOps",40159,12.2,0.22,True,Low,3,Growing
