posting_year,mean_ai_intensity,ai_share,reskilling_share,jobs
2010,0.1581651376146789,10.4,10.4,327
2011,0.1553061224489796,9.86,9.86,294
2012,0.14193548387096774,7.74,7.74,310
2013,0.15788343558282208,9.51,9.51,326
2014,0.20598101265822785,18.67,18.67,316
2015,0.19663461538461538,16.99,16.99,312
2016,0.18418006430868167,13.5,13.5,311
2017,0.2002295081967213,17.38,17.38,305
2018,0.3209574468085107,37.23,37.23,282
2019,0.2997885196374622,35.05,35.05,331
2020,0.3190460526315789,37.5,37.5,304
2021,0.3325242718446602,41.42,41.42,309
2022,0.4568932038834952,61.49,61.49,309
2023,0.4756270096463022,62.7,62.7,311
2024,0.48048859934853416,67.1,67.1,307
2025,0.484240506329114,67.72,67.72,316
